Athlete,Country,Sex,Sport,Age,Gold,Silver,Bronze,Total
Tina Maze,Slovenia,Female,Alpine Skiing,30,2,0,0,2
Vita Semerenko,Ukraine,Female,Biathlon,28,1,0,1,2
Ida Ingemarsdotter,Sweden,Female,Cross Country Skiing,28,1,0,1,2
Meryl Davis,United States,Female,Figure Skating,27,1,0,1,2
Charlotte Kalla,Sweden,Female,Cross Country Skiing,26,1,2,0,3
Shim Seok-Hui,South Korea,Female,Short Track Speed Skating,17,1,1,1,3
Park Seung-Hui,South Korea,Female,Short Track Speed Skating,21,2,0,1,3
Sandro Viletta,Switzerland,Male,Alpine Skiing,28,1,0,0,1
Ted Ligety,United States,Male,Alpine Skiing,29,1,0,0,1
Andrew Weibrecht,United States,Male,Alpine Skiing,27,0,1,0,1
Alex Baumann,Switzerland,Male,Bobsleigh,28,0,1,0,1
Beat Hefti,Switzerland,Male,Bobsleigh,36,0,1,0,1
Lars Nelson,Sweden,Male,Cross Country Skiing,28,1,0,0,1
Joss Christensen,United States,Male,Freestyle Skiing,22,1,0,0,1
David Wise,United States,Male,Freestyle Skiing,23,1,0,0,1
Gus Kenworthy,United States,Male,Freestyle Skiing,22,0,1,0,1
Gabriel Landeskog,Sweden,Male,Ice Hockey,21,0,1,0,1
Oliver Ekman Larsson,Sweden,Male,Ice Hockey,22,0,1,0,1
Erik Karlsson,Sweden,Male,Ice Hockey,23,0,1,0,1
Jakob Silfverberg,Sweden,Male,Ice Hockey,23,0,1,0,1
Marcus Johansson,Sweden,Male,Ice Hockey,23,0,1,0,1
Marcus Krüger,Sweden,Male,Ice Hockey,23,0,1,0,1
Gustav Nyquist,Sweden,Male,Ice Hockey,24,0,1,0,1
Carl Hagelin,Sweden,Male,Ice Hockey,25,0,1,0,1
Patrik Berglund,Sweden,Male,Ice Hockey,25,0,1,0,1
Nicklas Bäckström,Sweden,Male,Ice Hockey,26,0,1,0,1
Niklas Hjalmarsson,Sweden,Male,Ice Hockey,26,0,1,0,1
Alexander Edler,Sweden,Male,Ice Hockey,27,0,1,0,1
Loui Eriksson,Sweden,Male,Ice Hockey,28,0,1,0,1
Alexander Steen,Sweden,Male,Ice Hockey,29,0,1,0,1
Jonathan Ericsson,Sweden,Male,Ice Hockey,29,0,1,0,1
Henrik Lundqvist,Sweden,Male,Ice Hockey,31,0,1,0,1
Johnny Oduya,Sweden,Male,Ice Hockey,32,0,1,0,1
Daniel Sedin,Sweden,Male,Ice Hockey,33,0,1,0,1
Henrik Zetterberg,Sweden,Male,Ice Hockey,33,0,1,0,1
Jimmie Ericsson,Sweden,Male,Ice Hockey,33,0,1,0,1
Niklas Kronwall,Sweden,Male,Ice Hockey,33,0,1,0,1
Henrik Tallinder,Sweden,Male,Ice Hockey,35,0,1,0,1
Daniel Alfredsson,Sweden,Male,Ice Hockey,41,0,1,0,1
J. R. Celski,United States,Male,Short Track Speed Skating,23,0,1,0,1
Eddy Alvarez,United States,Male,Short Track Speed Skating,24,0,1,0,1
Chris Creveling,United States,Male,Short Track Speed Skating,27,0,1,0,1
Jordan Malone,United States,Male,Short Track Speed Skating,29,0,1,0,1
Iouri Podladtchikov,Switzerland,Male,Snowboarding,25,1,0,0,1
Sage Kotsenburg,United States,Male,Snowboarding,20,1,0,0,1
Nevin Galmarini,Switzerland,Male,Snowboarding,27,0,1,0,1
Kim Cheol-Min,South Korea,Male,Speed Skating,21,0,1,0,1
Ju Hyeong-Jun,South Korea,Male,Speed Skating,22,0,1,0,1
Lee Seung-Hun,South Korea,Male,Speed Skating,25,0,1,0,1
Bode Miller,United States,Male,Alpine Skiing,36,0,0,1,1
Yevgeny Garanichev,Russia,Male,Biathlon,25,0,0,1,1
Chris Fogt,United States,Male,Bobsleigh,30,0,0,1,1
Curt Tomasevicz,United States,Male,Bobsleigh,33,0,0,1,1
Ilya Chernousov,Russia,Male,Cross Country Skiing,27,0,0,1,1
Fredrik Lindberg,Sweden,Male,Curling,28,0,0,1,1
Niklas Edin,Sweden,Male,Curling,28,0,0,1,1
Sebastian Kraupp,Sweden,Male,Curling,28,0,0,1,1
Viktor Kjäll,Sweden,Male,Curling,28,0,0,1,1
Jason Brown,United States,Male,Figure Skating,19,0,0,1,1
Simon Shnapir,United States,Male,Figure Skating,26,0,0,1,1
Jeremy Abbott,United States,Male,Figure Skating,28,0,0,1,1
Aleksandr Smyshlyayev,Russia,Male,Freestyle Skiing,26,0,0,1,1
Nick Goepper,United States,Male,Freestyle Skiing,19,0,0,1,1
Matt Antoine,United States,Male,Skeleton,28,0,0,1,1
Alex Deibold,United States,Male,Snowboarding,27,0,0,1,1
Marcus Hellner,Sweden,Male,Cross Country Skiing,28,1,1,0,2
Johan Olsson,Sweden,Male,Cross Country Skiing,33,1,1,0,2
Dario Cologna,Switzerland,Male,Cross Country Skiing,27,2,0,0,2
Daniel Richardsson,Sweden,Male,Cross Country Skiing,31,1,0,1,2
Teodor Peterson,Sweden,Male,Cross Country Skiing,25,0,1,1,2
Charlie White,United States,Male,Figure Skating,26,1,0,1,2
Peter Prevc,Slovenia,Male,Ski Jumping,21,0,1,1,2
Žan Košir,Slovenia,Male,Snowboarding,29,0,1,1,2
Steve Langton,United States,Male,Bobsleigh,30,0,0,2,2
Steve Holcomb,United States,Male,Bobsleigh,33,0,0,2,2
Emil Jönsson,Sweden,Male,Cross Country Skiing,28,0,0,2,2
