Athlete,Country,Sex,Sport,Age,Gold,Silver,Bronze,Total
Enni Rukajärvi,Finland,Female,Snowboarding,23,0,1,0,1
Juhamatti Aaltonen,Finland,Male,Ice Hockey,28,0,0,1,1
Aleksander Barkov,Finland,Male,Ice Hockey,18,0,0,1,1
Mikael Granlund,Finland,Male,Ice Hockey,21,0,0,1,1
Juuso Hietanen,Finland,Male,Ice Hockey,28,0,0,1,1
Jarkko Immonen,Finland,Male,Ice Hockey,31,0,0,1,1
Jussi Jokinen,Finland,Male,Ice Hockey,30,0,0,1,1
Olli Jokinen,Finland,Male,Ice Hockey,35,0,0,1,1
Leo Komarov,Finland,Male,Ice Hockey,27,0,0,1,1
Petri Kontiola,Finland,Male,Ice Hockey,29,0,0,1,1
Lauri Korpikoski,Finland,Male,Ice Hockey,27,0,0,1,1
Lasse Kukkonen,Finland,Male,Ice Hockey,32,0,0,1,1
Jori Lehterä,Finland,Male,Ice Hockey,26,0,0,1,1
Kari Lehtonen,Finland,Male,Ice Hockey,30,0,0,1,1
Sami Lepistö,Finland,Male,Ice Hockey,29,0,0,1,1
Olli Määttä,Finland,Male,Ice Hockey,19,0,0,1,1
Antti Pihlström,Finland,Male,Ice Hockey,29,0,0,1,1
Tuukka Rask,Finland,Male,Ice Hockey,26,0,0,1,1
Tuomo Ruutu,Finland,Male,Ice Hockey,30,0,0,1,1
Sakari Salminen,Finland,Male,Ice Hockey,25,0,0,1,1
Sami Salo,Finland,Male,Ice Hockey,39,0,0,1,1
Teemu Selänne,Finland,Male,Ice Hockey,43,0,0,1,1
Kimmo Timonen,Finland,Male,Ice Hockey,38,0,0,1,1
Ossi Väänänen,Finland,Male,Ice Hockey,33,0,0,1,1
Sami Vatanen,Finland,Male,Ice Hockey,22,0,0,1,1
Martin Fourcade,France,Male,Biathlon,25,2,1,0,3
Jean-Frederic Chapuis,France,Male,Freestyle Skiing,24,1,0,0,1
Pierre Vaultier,France,Male,Snowboarding,26,1,0,0,1
Arnaud Bovolenta,France,Male,Freestyle Skiing,25,0,1,0,1
Marie Martinod,France,Female,Freestyle Skiing,29,0,1,0,1
Steve Missillier,France,Male,Alpine Skiing,29,0,1,0,1
Jean-Guillaume Beatrix,France,Male,Biathlon,25,0,0,1,1
Robin Duvillard,France,Male,Cross Country Skiing,30,0,0,1,1
Jean-Marc Gaillard,France,Male,Cross Country Skiing,33,0,0,1,1
Maurice Manificat,France,Male,Cross Country Skiing,27,0,0,1,1
Coline Mattel,France,Female,Ski Jumping,18,0,0,1,1
Jonathan Midol,France,Male,Freestyle Skiing,26,0,0,1,1
Ivan Perrillat Boiteux,France,Male,Cross Country Skiing,28,0,0,1,1
Alexis Pinturault,France,Male,Alpine Skiing,22,0,0,1,1
Kevin Rolland,France,Male,Freestyle Skiing,24,0,0,1,1
Chloe Trespeuch,France,Female,Snowboarding,19,0,0,1,1
Tobias Arlt,Germany,Male,Luge,26,2,0,0,2
Natalie Geisenberger,Germany,Female,Luge,26,2,0,0,2
Felix Loch,Germany,Male,Luge,24,2,0,0,2
Tobias Wendl,Germany,Male,Luge,26,2,0,0,2
Eric Frenzel,Germany,Male,Nordic Combined,25,1,1,0,2
Maria Höfl-Riesch,Germany,Female,Alpine Skiing,29,1,1,0,2
Erik Lesser,Germany,Male,Biathlon Cross Country Skiing,25,0,2,0,2
Fabian Rießle,Germany,Male,Nordic Combined,23,0,1,1,2
Severin Freund,Germany,Male,Ski Jumping,25,1,0,0,1
Marinus Kraus,Germany,Male,Ski Jumping,22,1,0,0,1
Carina Vogt,Germany,Female,Ski Jumping,22,1,0,0,1
Andreas Wank,Germany,Male,Ski Jumping,25,1,0,0,1
Andreas Wellinger,Germany,Male,Ski Jumping,18,1,0,0,1
Daniel Böhm,Germany,Male,Biathlon,27,0,1,0,1
Tatjana Hüfner,Germany,Female,Luge,30,0,1,0,1
Anke Karstens,Germany,Female,Snowboarding,28,0,1,0,1
Björn Kircheisen,Germany,Male,Nordic Combined,30,0,1,0,1
Arnd Peiffer,Germany,Male,Biathlon Cross Country Skiing,26,0,1,0,1
Johannes Rydzek,Germany,Male,Nordic Combined,22,0,1,0,1
Simon Schempp,Germany,Male,Biathlon,25,0,1,0,1
Stefanie Böhler,Germany,Female,Cross Country Skiing,32,0,0,1,1
Nicole Fessel,Germany,Female,Cross Country Skiing,30,0,0,1,1
Denise Herrmann,Germany,Female,Cross Country Skiing,25,0,0,1,1
Amelie Kober,Germany,Female,Snowboarding,26,0,0,1,1
Claudia Künzel-Nystad,Germany,Female,Cross Country Skiing,36,0,0,1,1
Viktoria Rebensburg,Germany,Female,Alpine Skiing,24,0,0,1,1
Aljona Sawtchenko,Germany,Female,Figure Skating,30,0,0,1,1
Robin Szolkowy,Germany,Male,Figure Skating,34,0,0,1,1
Lizzy Yarnold,Great Britain,Female,Skeleton,25,1,0,0,1
Scott Andrews,Great Britain,Male,Curling,24,0,1,0,1
Greg Drummond,Great Britain,Male,Curling,25,0,1,0,1
Michael Goodfellow,Great Britain,Male,Curling,25,0,1,0,1
David Murdoch,Great Britain,Male,Curling,35,0,1,0,1
Vicki Adams,Great Britain,Female,Curling,24,0,0,1,1
Claire Hamilton,Great Britain,Female,Curling,25,0,0,1,1
Jenny Jones,Great Britain,Female,Snowboarding,33,0,0,1,1
Eve Muirhead,Great Britain,Female,Curling,23,0,0,1,1
Anna Sloan,Great Britain,Female,Curling,22,0,0,1,1
Arianna Fontana,Italy,Female,Short Track Speed Skating,23,0,1,2,3
Christof Innerhofer,Italy,Male,Alpine Skiing,29,0,1,1,2
Lukas Hofer,Italy,Male,Biathlon,24,0,0,1,1
Carolina Kostner,Italy,Female,Figure Skating,26,0,0,1,1
Karin Oberhofer,Italy,Female,Biathlon,28,0,0,1,1
Lucia Peretti,Italy,Female,Short Track Speed Skating,23,0,0,1,1
Martina Valcepina,Italy,Female,Short Track Speed Skating,21,0,0,1,1
Elena Viviani,Italy,Female,Short Track Speed Skating,21,0,0,1,1
Dorothea Wierer,Italy,Female,Biathlon,23,0,0,1,1
Dominik Windisch,Italy,Male,Biathlon,24,0,0,1,1
Armin Zöggeler,Italy,Male,Luge,40,0,0,1,1
Noriaki Kasai,Japan,Male,Ski Jumping,41,0,1,1,2
Yuzuru Hanyu,Japan,Male,Figure Skating,19,1,0,0,1
Ayumu Hirano,Japan,Male,Snowboarding,15,0,1,0,1
Tomoka Takeuchi,Japan,Female,Snowboarding,30,0,1,0,1
Akito Watabe,Japan,Male,Nordic Combined,25,0,1,0,1
Taku Hiraoka,Japan,Male,Snowboarding,18,0,0,1,1
Daiki Ito,Japan,Male,Ski Jumping,28,0,0,1,1
Ayana Onozuka,Japan,Female,Freestyle Skiing,25,0,0,1,1
Reruhi Shimizu,Japan,Male,Ski Jumping,20,0,0,1,1
Taku Takeuchi,Japan,Male,Ski Jumping,26,0,0,1,1
Denis Ten,Kazakhstan,Male,Figure Skating,20,0,0,1,1
Andris Šics,Latvia,Male,Luge,28,0,0,2,2
Juris Šics,Latvia,Male,Luge,30,0,0,2,2
Daumants Dreiškens,Latvia,Male,Bobsleigh,29,0,1,0,1
Martins Dukurs,Latvia,Male,Skeleton,29,0,1,0,1
Oskars Melbārdis,Latvia,Male,Bobsleigh,25,0,1,0,1
Jānis Strenga,Latvia,Male,Bobsleigh,28,0,1,0,1
Arvis Vilkaste,Latvia,Male,Bobsleigh,24,0,1,0,1
